Scielo,,,,,,15
PMID,Title ,Authors,Journal,Langauge(s),Year,Url
S1415-790X2022000100800-scl,Pronóstico de la tendencia de COVID-19 para 2021 en el noroeste de Argentina,"Mendoza, Eduardo Agustín, Bruzzone, Octavio, Juri, María Julia Dantur",Revista Brasileira de Epidemiologia,"Português, Inglês",2022,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2022000100800&lang=pt
S1413-86702022000100300-scl,Tuberculosis drug resistance profiling based on machine learning: A literature review,"Sharma, Abhinav, Machado, Edson, Lima, Karla Valeria Batista, Suffys, Philip Noel, Conceição, Emilyn Costa",Brazilian Journal of Infectious Diseases,Inglês,2022,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702022000100300&lang=pt
S0102-46982022000100125-scl,ENSINO REMOTO PARA ESTUDANTES DO PÚBLICO-ALVO DA EDUCAÇÃO ESPECIAL NOS INSTITUTOS FEDERAIS,"BUENO, MELINA BRANDT, LEITE, GRACILIANA GARCIA, VILARONGA, ARLA ARIELA RIOS, MENDES, ENICÉIA GONÇALVES",Educação em Revista,"Português, Inglês",2022,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982022000100125&lang=pt
S0037-86822021000100304-scl,"Modeling transmission dynamics of severe acute respiratory syndrome coronavirus 2 in São Paulo, Brazil","Cruz, Pedro Alexandre da, Crema-Cruz, Leandra Cristina, Campos, Fabrício Souza",Revista da Sociedade Brasileira de Medicina Tropical,Inglês,2021,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822021000100304&lang=pt
S1516-89132021000100429-scl,A Novel Frequency Based Feature Extraction Technique for Classification of Corona Virus Genome and Discovery of COVID-19 Repeat Pattern,"Murugaiah, Muthulakshmi, Ganesan, Murugeswari",Brazilian Archives of Biology and Technology,Inglês,2021,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132021000100429&lang=pt
S1413-86702020000500458-scl,Triage tool for suspected COVID-19 patients in the emergency room: AIFELL score,"Levenfus, Ian, Ullmann, Enrico, Battegay, Edouard, Schuurmans, Macé M.",Brazilian Journal of Infectious Diseases,Inglês,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702020000500458&lang=pt
S0103-50532020000901759-scl,Determination of Ethanol in Gel Hand Sanitizers Using Mid and Near Infrared Spectroscopy,"Fonseca Jr., Fernando S., Brito, Lívia R. e, Pimentel, Maria Fernanda, Leal, Leila B.",Journal of the Brazilian Chemical Society,Inglês,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532020000901759&lang=pt
S0104-11692020000100366-scl,Which curve provides the best explanation of the growth in confirmed COVID-19 cases in Chile?,"Díaz-Narváez, Víctor, San-Martín-Roldán, David, Calzadilla-Núñez, Aracelis, San-Martín-Roldán, Pablo, Parody-Muñoz, Alexander, Robledo-Veloso, Gonzalo",Revista Latino-Americana de Enfermagem,"Inglês, Português, Espanhol",2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692020000100366&lang=pt
S0102-30982020000100400-scl,Estratificação de risco para predição de disseminação e gravidade da Covid-19 no Brasil,"Guimarães, Raphael Mendonça, Eleuterio, Tatiana de Araujo, Monteiro-da-Silva, José Henrique Costa",Revista Brasileira de Estudos de População,Português,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982020000100400&lang=pt
S1415-790X2020000100205-scl,Prediction of cumulative rate of COVID-19 deaths in Brazil: a modeling study,"Melo, Géssyca Cavalcante de, Duprat, Irena Penha, Araújo, Karina Conceição Gomes Machado de, Fischer, Frida Marina, Araújo Neto, Renato Américo de",Revista Brasileira de Epidemiologia,Inglês,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2020000100205&lang=pt
