Springer,,,,,,998
PMID,Title ,Authors,Journal,Langauge(s),Year,Url
,,,,,,
,Item Title,Authors,Journal Volume,,Publication Year,URL
,Multi-scale mechanism of antiviral drug-alike phytoligands from Ayurveda in managing COVID-19 and associated metabolic comorbidities: insights from network pharmacology,Neha ChoudharyVikram Singh,,,2022,http://link.springer.com/article/10.1007/s11030-021-10352-x
,Understanding COVID-19 nonlinear multi-scale dynamic spreading in Italy,Giuseppe QuarantaGiovanni FormicaJ. Tenreiro MachadoWalter LacarbonaraSami F. Masri,101,,2020,http://link.springer.com/article/10.1007/s11071-020-05902-1
,A multimethod approach for county-scale geospatial analysis of emerging infectious diseases: a cross-sectional case study of COVID-19 incidence in Germany,Christopher ScarponeSebastian T. BrinkmannTim GroßeDaniel SonnenwaldMartin FuchsBlake Byron Walker,19,,2020,http://link.springer.com/article/10.1186/s12942-020-00225-1
,System Inference Via Field Inversion for the Spatio-Temporal Progression of Infectious Diseases: Studies of COVID-19 in Michigan and Mexico,Zhenlin WangMariana Carrasco-TejaXiaoxuan ZhangGregory H. TeichertKrishna Garikipati,28,,2021,http://link.springer.com/article/10.1007/s11831-021-09643-1
,System inference for the spatio-temporal evolution of infectious diseases: Michigan in the time of COVID-19,Z. WangX. ZhangG. H. TeichertM. Carrasco-TejaK. Garikipati,66,,2020,http://link.springer.com/article/10.1007/s00466-020-01894-2
,Automatic lumbar spinal MRI image segmentation with a multi-scale attention network,Haixing LiHaibo LuoWang HuanZelin ShiChongnan YanLanbo WangYueming MuYunpeng Liu,33,,2021,http://link.springer.com/article/10.1007/s00521-021-05856-4
,Deep learning applications in pulmonary medical imaging: recent updates and insights on COVID-19,Hanan FarhatGeorge E. SakrRima Kilany,31,,2020,http://link.springer.com/article/10.1007/s00138-020-01101-5
,"Assessing the Spatio-temporal Spread of COVID-19 via Compartmental Models with Diffusion in Italy, USA, and Brazil",Malú GraveAlex ViguerieGabriel F. BarrosAlessandro RealiAlvaro L. G. A. Coutinho,28,,2021,http://link.springer.com/article/10.1007/s11831-021-09627-1
,Multi-scale predictors of parasite risk in wild male savanna baboons (Papio cynocephalus),Bobby HabigDavid A. W. A. M. JansenMercy Y. AkinyiLaurence R. GesquiereSusan C. AlbertsElizabeth A. Archie,73,,2019,http://link.springer.com/article/10.1007/s00265-019-2748-y
,Optimal scale combination selection for inconsistent multi-scale decision tables,Zhu YingjieYang Bin,,,2022,http://link.springer.com/article/10.1007/s00500-022-07102-y
,Defining the ecological and evolutionary drivers of Plasmodium knowlesi transmission within a multi-scale framework,Gael DavidsonTock H. ChuaAngus CookPeter SpeldewindePhilip Weinstein,18,,2019,http://link.springer.com/article/10.1186/s12936-019-2693-2
,"European Association of Nuclear Medicine October 20-23, 2021 Virtual",,48,,2021,http://link.springer.com/article/10.1007/s00259-021-05547-1
,Artificial intelligence (AI) for medical imaging to combat coronavirus disease (COVID-19): a detailed review with direction for future research,Toufique A. SoomroLihong ZhengAhmed J. AfifiAhmed AliMing YinJunbin Gao,55,,2022,http://link.springer.com/article/10.1007/s10462-021-09985-z
,Multi–Scale Risk Connectedness Between Economic Policy Uncertainty of China and Global Oil Prices in Time–Frequency Domains,Sheng ChengWei LiuQisheng JiangYan Cao,,,2022,http://link.springer.com/article/10.1007/s10614-022-10254-6
,Effects of masks on the transmission of infectious diseases,Lili HanQiuhui PanBaolin KangMingfeng He,2021,,2021,http://link.springer.com/article/10.1186/s13662-021-03321-z
,Leveraging Computational Modeling to Understand Infectious Diseases,Adrianne L. JennerRosemary A. AogoCourtney L. DavisAmber M. SmithMorgan Craig,8,,2020,http://link.springer.com/article/10.1007/s40139-020-00213-x
,COVID-19 in the Age of Artificial Intelligence: A Comprehensive Review,Jawad RasheedAkhtar JamilAlaa Ali HameedFadi Al-TurjmanAhmad Rasheed,13,,2021,http://link.springer.com/article/10.1007/s12539-021-00431-w
,Dynamics and optimal control of a stochastic coronavirus (COVID-19) epidemic model with diffusion,Yuxi LiZhouchao Wei,,,2021,http://link.springer.com/article/10.1007/s11071-021-06998-9
,Role of pine wilt disease based on optimal control strategy at multiple scales: A case study of Korea,Muhammad OzairTakasar HussainKashif Ali AbroSajid JameelAziz Ullah Awan,46,,2021,http://link.springer.com/article/10.1007/s12038-021-00208-9
